Name,ECLP time,ECLP nodes,ECLP cost,ALL time,ALL nodes,ALL cost,GOOD RF time,GOOD RF nodes,GOOD RF cost,GOOD NN time,GOOD NN nodes,GOOD NN cost,RAND70 time,RAND70 nodes,RAND70 cost,RAND50 time,RAND50 nodes,RAND50 cost
netgen20-5-8_maxregret,0.567700465,615,295,0.536265276,318,295,0.514729071,337,295,0.520549329,324,295,0.662610445,547,295,0.605459771,415,295
netgen20-5-9_maxregret,8.303000676,10221,315,6.674767856,5124,315,6.264123391,5416,315,6.535142782,5700,315,9.851354434,9287,315,9.046034735,7619,315
netgen21-2-10_maxregret,3600,4560292,_16420556,3600,3170559,_16601370,3600,3435958,_16601225,3600,3288135,_16601226,3600,3600531,_16601372,3600,3738599,_16601226
netgen21-2-11_maxregret,211.281192211,405515,129,69.667233594,76673,129,63.789186403,77656,129,66.539899583,76803,129,136.27712312,188653,129,185.516828844,252668,129
netgen21-2-12_maxregret,3600,6359190,_16420577,3600,3456807,_16601499,3600,3914078,_16601501,3600,3768478,_16601502,3600,4504838,_16601355,3600,4248147,_16601355
netgen21-2-13_maxregret,3600,4348251,_16420184,999.695794901,775714,163,951.626930377,803578,163,999.076798669,816311,163,2085.404627961,1727205,163,1885.005443323,1563897,163
netgen21-2-14_maxregret,3600,7992487,_16420375,3600,3786284,_16601196,3600,4298736,_16601051,3600,3998192,_16601052,3600,5482810,_16600905,3600,4822761,_16601052
netgen21-2-15_maxregret,3600,8496306,_16420579,3600,4185070,_16601460,3600,4650052,_16601315,3600,4509702,_16601316,3600,5938349,_16601169,3600,5161026,_16601316
netgen21-2-16_maxregret,33.015147384,40556,122,20.085053436,15159,122,18.395139561,15369,122,19.115311062,15445,122,37.818091841,35204,122,26.418471799,23231,122
netgen21-2-1_maxregret,3600,7245231,_16420263,3600,3728533,_16600145,3600,4065648,_16600014,3600,3981341,_16600015,3600,4876251,_16599868,3600,4382987,_16600147
netgen21-2-2_maxregret,3600,5699316,_16420761,3600,3720137,_16601539,3600,4311917,_16601394,3600,4438112,_16601395,3600,4465310,_16601394,3600,4235264,_16601395
netgen21-2-3_maxregret,3600,7068188,_16420814,3600,3677979,_16601480,3600,4070465,_16601335,3600,3884561,_16601336,3600,5196702,_16601189,3600,4423711,_16601482
netgen21-2-4_maxregret,5.092606526,5107,191,5.438388586,3282,191,4.893726683,3251,191,5.04978305,3316,191,6.428670696,4609,191,5.73123743,3866,191
netgen21-2-5_maxregret,3600,6814315,_16420699,3600,3522792,_16601391,3600,3936116,_16601246,3600,3733520,_16601247,3600,4443161,_16601247,3600,4207384,_16601246
netgen21-2-6_maxregret,3600,7083475,_16420276,3600,3965002,_16600231,3600,4439306,_16600086,3600,4244625,_16600087,3600,4985046,_16599940,3600,4812624,_16599940
netgen21-2-7_maxregret,3600,5883844,_16420125,3600,3838941,_16601118,3600,3929867,_16601120,3600,3837586,_16601121,3600,4252208,_16600827,3600,4077196,_16600974
netgen21-2-8_maxregret,351.812474068,367304,142,222.678684122,147716,142,202.094026296,150204,142,207.668469703,149764,142,326.077948565,259845,142,310.266401587,238978,142
netgen21-2-9_maxregret,1.042397613,1067,290,0.830375219,492,290,0.878057447,556,290,0.904445195,548,290,0.971513664,723,290,1.010553912,755,290
